Probe Time,Probe 0,Probe 1,Probe 2,Probe 3,Probe 4
0.0005,511.348,459.219,419.492,381.439,342.814
0.001,503.695,463.251,423.146,384.911,346.076
0.0015,519.42,474.603,432.749,393.754,354.129
0.002,535.076,479.021,436.073,396.8,356.852
0.0025,541.679,472.304,429.157,390.379,350.966
0.003,569.171,470.002,425.268,386.739,347.626
0.0035,556.42,471.142,421.078,382.812,343.937
0.004,572.735,472.201,417.759,379.736,341.045
0.0045,581.092,471.417,410.918,373.194,334.798
0.005,552.657,478.299,409.947,372.397,334.164
0.0055,526.242,477.171,408.074,370.671,332.519
0.006,513.208,469.962,406.525,369.213,331.128
0.0065,511.553,462.392,405.128,367.88,329.863
0.007,512.415,456.284,403.286,365.864,327.974
0.0075,506.825,452.141,401.718,364.307,326.502
0.008,528.434,447.274,399.72,362.384,324.703
0.0085,579.025,445.052,397.304,360.075,322.569
0.009,904.728,445.603,395.287,358.209,320.845
0.0095,1248.31,492.864,392.775,355.871,318.867
0.01,-102.642,578.646,393.131,354.979,318.098
0.0105,156.42,408.096,388.861,351.533,314.984
0.011,387.166,403.714,383.683,347.405,311.028
0.0115,444.034,431.099,385.793,349.681,313.226
0.012,428.033,403.911,382.736,346.479,310.318
0.0125,429.657,404.777,379.014,342.725,306.862
0.013,435.773,406.202,376.335,340.206,304.529
0.0135,437.305,405.901,374.274,338.155,302.638
0.014,438.803,405.924,373.412,337.099,301.624
0.0145,439.654,405.433,372.233,336.0,300.591
0.015,439.538,404.051,370.432,334.335,299.053
0.0155,439.02,402.667,368.748,332.803,297.618
0.016,437.674,401.125,366.981,331.199,296.139
0.0165,434.944,399.2,364.972,329.383,294.595
0.017,431.716,396.877,362.565,327.185,292.71
0.0175,428.89,395.622,361.159,325.905,291.568
0.018,424.184,391.183,356.587,321.547,287.353
0.0185,423.238,390.717,356.147,321.302,287.235
0.019,421.92,389.268,354.698,319.991,286.031
0.0195,421.943,387.719,353.124,318.542,284.692
0.02,423.329,385.673,351.337,316.883,283.154
0.0205,411.904,384.39,349.639,315.313,281.693
0.021,405.01,383.991,349.048,314.745,281.134
0.0215,404.768,381.703,347.021,312.912,279.416
0.022,405.703,379.542,345.084,311.163,277.796
0.0225,405.594,378.002,343.663,309.888,276.599
0.023,402.7,376.775,342.413,308.733,275.523
